번호,회사명,종목코드,폐지일자,폐지사유,비고
1013,부국퓨쳐스타즈스팩,123300,2013-06-03,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,
1012,지앤에스티,036920,2013-05-07,감사의견거절(감사범위 제한),
1011,룩손에너지,033550,2013-05-07,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
1010,마이스코,088700,2013-05-04,감사의견거절(계속기업으로서의 존속능력에 대한 불확실성),
1009,네오퍼플,028090,2013-05-03,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
1008,알앤엘바이오,003190,2013-05-03,감사의견 의견거절,
1007,에듀언스,009010,2013-05-01,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
1006,디에스,051710,2013-05-01,감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성),
1005,자유투어,046840,2013-05-01,감사의견거절(감사범위 제한),
1004,유일엔시스,038720,2013-05-01,감사의견 부적정,
1003,하나은행,004940,2013-04-26,신청에 의한 상장폐지,
1002,유에이블,071530,2013-04-23,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
1001,아큐텍,013780,2013-04-23,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
1000,다함이텍,009280,2013-04-16,매출액 미달(50억원 미만) 2년 계속,
999,한일건설,006440,2013-04-16,자본전액잠식,
998,이디디컴퍼니,052650,2013-04-12,반기 재무제표에 대한 검토의견거절로 관리종목 지정후 자본잠식률 50% 이상,
997,삼우이엠씨,026250,2013-04-12,자본전액잠식,
996,휴먼텍코리아,066060,2013-04-12,자본전액잠식,
995,코리아05호,093400,2013-04-10,감사의견 의견거절,
994,코리아06호,093410,2013-04-10,감사의견 의견거절,
993,코리아07호,099210,2013-04-10,감사의견 의견거절,
992,엔터미디어,068420,2013-04-06,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
991,에스비아이앤솔로몬스,123910,2013-03-29,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,
990,한국스팩1호,123290,2013-03-29,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,
989,대신증권그로쓰스팩,123550,2013-03-29,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,
988,태평양제약,016570,2013-03-15,신청에 의한 상장폐지,
987,신민저축은행,031920,2013-02-27,2반기 연속 자본잠식률 50%이상,
986,트라이써클,034010,2013-02-21,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
985,한화SV스팩1호,124050,2013-02-15,상장예비심사 청구서 미제출로 관리종목 지정후 1개월 이내 동 사유 미해소,
984,AD모터스,038120,2013-01-30,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",
983,대한은박지,007480,2013-01-28,해산 사유 발생,
982,아세아페이퍼텍,009380,2013-01-23,해산 사유 발생,
981,롯데미도파,004010,2013-01-22,해산 사유 발생,
980,선진지주,014300,2013-01-18,해산 사유 발생,
979,히든챔피언스팩1호,123160,2013-01-18,상장예비심사 청구서 미제출로 관리종목 지정후 1개월 이내 동 사유 미해소,
978,케이피케미칼,064420,2013-01-15,해산 사유 발생,
977,우리스팩1호,122750,2012-12-21,SPAC 상장예비심사청구서 미제출 등,
976,중앙건설,015110,2012-12-11,보통주 주가수준미달,
