"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
dart_ProceedsFromSalesOfAvailableForSaleFinancialAssets,매도가능금융자산의 처분,Proceeds from sales of available-for-sale financial assets,현금흐름표 [abstract],투자활동현금흐름,매도가능금융자산의 처분,,,,400000000.0
dart_ProceedsFromSalesOfFinancialAssetsHeldToMaturity,만기보유금융자산의 처분,Proceeds from sales of financial assets held to maturity,현금흐름표 [abstract],투자활동현금흐름,만기보유금융자산의 처분,,,,10225677908.0
entity00172680_udf_CF_2018111316161385_CashFlowsFromUsedInInvestingActivities,상각후원가 채무증권의 처분,Proceeds from debt securities at amortized cost,현금흐름표 [abstract],투자활동현금흐름,상각후원가 채무증권의 처분,,92891054.0,5194231424.0,
dart_DecreaseInLoans,대여금의 감소,Decrease in loans,현금흐름표 [abstract],투자활동현금흐름,대여금의 감소,,61493398.0,1296452071.0,44620000.0
dart_ProceedsFromSalesOfInvestmentsInSubsidiaries,종속기업에 대한 투자자산의 처분,Proceeds from sales of investments in subsidiaries,현금흐름표 [abstract],투자활동현금흐름,종속기업에 대한 투자자산의 처분,,,,4211000000.0
dart_ProceedsFromSalesOfLongTermFinancialInstruments,장기금융상품의 처분,Proceeds from sales of long-term financial instruments,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 처분,,662612695.0,2439780.0,711968160.0
dart_ProceedsFromSalesOfLand,토지의 처분,Proceeds from sales of land,현금흐름표 [abstract],투자활동현금흐름,토지의 처분,,2330580661.0,,6673000000.0
dart_ProceedsFromSalesOfBuildings,건물의 처분,Proceeds from sales of buildings,현금흐름표 [abstract],투자활동현금흐름,건물의 처분,,1417316939.0,50000000.0,
dart_ProceedsFromSalesOfStructure,구축물의 처분,Proceeds from sales of structure,현금흐름표 [abstract],투자활동현금흐름,구축물의 처분,,2016900.0,,155000000.0
dart_ProceedsFromSalesOfMachinery,기계장치의 처분,Proceeds from sales of machinery,현금흐름표 [abstract],투자활동현금흐름,기계장치의 처분,,226420800.0,47667600.0,463702792.0
entity00172680_udf_CF_20181113161848638_CashFlowsFromUsedInInvestingActivities,공기구비품의 처분,Proceeds for equipment,현금흐름표 [abstract],투자활동현금흐름,공기구비품의 처분,,26239800.0,8609100.0,
dart_ProceedsFromSalesOfVehicles,차량운반구의 처분,Proceeds from sales of vehicles,현금흐름표 [abstract],투자활동현금흐름,차량운반구의 처분,,426809091.0,631481816.0,294417446.0
entity00172680_udf_CF_2020323133530441_CashFlowsFromUsedInInvestingActivities,사용권자산의 처분,Proceeds from License assets,현금흐름표 [abstract],투자활동현금흐름,사용권자산의 처분,,6116983.0,,
entity00172680_udf_CF_2020323133539887_CashFlowsFromUsedInInvestingActivities,시설이용권의 처분,Proceeds from Facility use assets,현금흐름표 [abstract],투자활동현금흐름,시설이용권의 처분,,450000000.0,,
entity00172680_udf_CF_201932216206960_CashFlowsFromUsedInInvestingActivities,장기미수금의 회수,Collection of long-term Accounts receivable,현금흐름표 [abstract],투자활동현금흐름,장기미수금의 회수,,15059638840.0,105560.0,159260610.0
entity00172680_udf_CF_2020323133811130_CashFlowsFromUsedInInvestingActivities,장기미수수익의 회수,Collection of long-term Receivable,현금흐름표 [abstract],투자활동현금흐름,장기미수수익의 회수,,2960995550.0,,
ifrs-full_ProceedsFromGovernmentGrantsClassifiedAsInvestingActivities,정부보조금의 수취,Proceeds from government grants,현금흐름표 [abstract],투자활동현금흐름,정부보조금의 수취,,100000000.0,49835000.0,104000000.0
dart_ProceedsFromSalesOfNonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,매각예정으로 분류된 비유동자산이나 처분자산집단의 처분,Proceeds from sales of non-current assets or disposal groups classified as held for sale,현금흐름표 [abstract],투자활동현금흐름,매각예정으로 분류된 비유동자산이나 처분자산집단의 처분,,,2138592705.0,
dart_DecreaseInGuaranteeDeposits,임차보증금의 감소,Decrease in guarantee deposits,현금흐름표 [abstract],투자활동현금흐름,임차보증금의 감소,,1692617470.0,8824511532.0,14666824.0
entity00172680_udf_CF_20181113162017982_CashFlowsFromUsedInInvestingActivities,연결범위변동으로 인한 현금흐름,Cash flow for Changes in consolidated companies,현금흐름표 [abstract],투자활동현금흐름,연결범위변동으로 인한 현금흐름,,1735.0,,170551971.0
dart_PurchaseOfShortTermFinancialInstruments,단기금융상품의 취득,Purchase of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 취득,,87676141168.0,20798363844.0,60117056368.0
dart_PurchaseOfFinancialAssetsHeldToMaturity,만기보유금융자산의 취득,Purchase of financial assets held to maturity,현금흐름표 [abstract],투자활동현금흐름,만기보유금융자산의 취득,,,,5082500000.0
dart_IncreaseInLoans,대여금의 증가,Increase in loans,현금흐름표 [abstract],투자활동현금흐름,대여금의 증가,,100000000.0,30000000.0,1416000000.0
dart_PurchaseOfLongTermFinancialInstruments,장기금융상품의 취득,Purchase of long-term financial instruments,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 취득,,110205289.0,231940549.0,319617461.0
entity00172680_udf_CF_2018514202213510_CashFlowsFromUsedInInvestingActivities,상각후원가 채무증권의 취득,Acquisition of debt securities at amortized cost,현금흐름표 [abstract],투자활동현금흐름,상각후원가 채무증권의 취득,,,3033000000.0,
dart_PurchaseOfLand,토지의 취득,Purchase of land,현금흐름표 [abstract],투자활동현금흐름,토지의 취득,,,162932.0,5204827065.0
dart_PurchaseOfBuildings,건물의 취득,Purchase of buildings,현금흐름표 [abstract],투자활동현금흐름,건물의 취득,,641559600.0,685329489.0,597335450.0
dart_PurchaseOfStructure,구축물의 취득,Purchase of structure,현금흐름표 [abstract],투자활동현금흐름,구축물의 취득,,351297820.0,503005580.0,2157730600.0
dart_PurchaseOfMachinery,기계장치의 취득,Purchase of machinery,현금흐름표 [abstract],투자활동현금흐름,기계장치의 취득,,1868318936.0,9132669829.0,2904139800.0
dart_PurchaseOfVehicles,차량운반구의 취득,Purchase of vehicles,현금흐름표 [abstract],투자활동현금흐름,차량운반구의 취득,,255660965.0,358080542.0,740600514.0
entity00172680_udf_CF_2018327173817180_CashFlowsFromUsedInInvestingActivities,공기구비품의 취득,Purchase of equipment,현금흐름표 [abstract],투자활동현금흐름,공기구비품의 취득,,1277418815.0,1036365078.0,1565114975.0
dart_PurchaseOfConstructionInProgress,건설중인자산의 취득,Purchase of construction in progress,현금흐름표 [abstract],투자활동현금흐름,건설중인자산의 취득,,2589375394.0,6185883789.0,7608618752.0
dart_PurchaseOfComputerSoftware,컴퓨터소프트웨어의 취득,Purchase of computer software,현금흐름표 [abstract],투자활동현금흐름,컴퓨터소프트웨어의 취득,,236493000.0,209240000.0,53205000.0
dart_IncreaseInGuaranteeDeposits,임차보증금의 증가,Increase in guarantee deposits,현금흐름표 [abstract],투자활동현금흐름,임차보증금의 증가,,2354912028.0,8808037521.0,164711000.0
